"Chrysler","Auburn Hills, MI","https://www.secondmarket.com/company/chrysler","https://www.chryslergroupllc.com","",""
"Slated","New York, NY","https://www.secondmarket.com/company/slated","www.slated.com","",""
"Zaarly","","https://www.secondmarket.com/company/zaarly","http://www.zaarly.com","Oct 2011","$14M"
"Bechtel","San Francisco, CA","https://www.secondmarket.com/company/bechtel","http://www.bechtel.com","",""
"RockYou","Redwood City, CA","https://www.secondmarket.com/company/rockyou","http://www.rockyou.com/","Jun 2010","$10M"
"The Climate Corporation","San Francisco, CA","https://www.secondmarket.com/company/weatherbill","http://climate.com","Feb 2011","$42M"
"Savored","New York, NY","https://www.secondmarket.com/company/savored","https://savored.com/","Dec 2010","$3M"
"LifeLock","Tempe, AZ","https://www.secondmarket.com/company/lifelock","http://www.lifelock.com/","Aug 2009","$40M"
"Lot18","New York, NY","https://www.secondmarket.com/company/lot18","http://www.lot18.com","Nov 2011","$30M"
"OkCupid","New York, NY","https://www.secondmarket.com/company/okcupid","http://www.okcupid.com/","",""
"Jobvite","Burlingame, CA","https://www.secondmarket.com/company/jobvite","http://www.jobvite.com/","May 2011","$15M"
"Gust","New York, NY","https://www.secondmarket.com/company/angelsoft","http://gust.com/","2004","Unknown"
"AdMeld","New York, NY","https://www.secondmarket.com/company/admeld","http://www.admeld.com","Aug 2010","$15M"
"Elance","Mountain View, CA","https://www.secondmarket.com/company/elance","http://www.elance.com","Sep 2000","$50M"
"adBrite","San Francisco, CA","https://www.secondmarket.com/company/adbrite","http://adbrite.com","Nov 2007","$23M"
"Yext","New York, NY","https://www.secondmarket.com/company/yext","http://www.yext.com","Jul 2011","$10M"
"BlueKai","Bellevue, WA","https://www.secondmarket.com/company/bluekai","http://www.bluekai.com/","Feb 2010","$21M"
"Ning","Palo Alto, CA","https://www.secondmarket.com/company/ning","http://www.ning.com","Jul 2009","$15M"
"Tapad","New York, NY","https://www.secondmarket.com/company/tapadcom","http://www.tapad.com","Mar 2011","$1.8M"
"Hashable","New York City, NY","https://www.secondmarket.com/company/hashable","http://hashable.com/","Nov 2010","$4M"
"Sonos","Santa Barbara, CA","https://www.secondmarket.com/company/sonos","http://www.sonos.com","Mar 2010","$25M"
"QuiBids","Oklahoma City, OK","https://www.secondmarket.com/company/quibids","http://www.quibids.com","",""
"Federated Media","San Francisco, CA","https://www.secondmarket.com/company/federated-media","http://federatedmedia.net","Apr 2008","$50M"
"Genentech","","https://www.secondmarket.com/company/genentech","www.genentech.com","",""
"On Deck Capital","New York, NY","https://www.secondmarket.com/company/on-deck-capital","http://www.ondeckcapital.com","Aug 2011","$19M"
"Virgin Galactic","","https://www.secondmarket.com/company/virgin-galactic","http://www.virgingalactic.com/","",""
"HootSuite","Vancouver, Canada","https://www.secondmarket.com/company/hootsuite","http://www.hootsuite.com","Sep 2011","$3M"
"Rearden Commerce","Foster City, CA","https://www.secondmarket.com/company/rearden-commerce","http://www.reardencommerce.com/","Sep 2011","$133M"
"Arista Networks","Santa Clara, CA","https://www.secondmarket.com/company/arista-networks","www.aristanetworks.com","",""
"Expensify","San Francisco, CA","https://www.secondmarket.com/company/expensify","https://www.expensify.com","Sep 2010","$5.7M"
"Wealthfront","Palo Alto, CA","https://www.secondmarket.com/company/wealthfront","https://www.wealthfront.com/","Dec 2009","$7.5M"
"YuMe","Redwood City, CA","https://www.secondmarket.com/company/yume","http://www.yume.com","Nov 2011","$11M"
"Xoom Corporation","San Francisco, CA","https://www.secondmarket.com/company/xoom","http://xoom.com","Nov 2011","$25M"
"Adknowledge","Kansas City, MO","https://www.secondmarket.com/company/adknowledge","http://adknowledge.com","Jan 2011","$200M"
"WhatsApp","Santa Clara, CA","https://www.secondmarket.com/company/whatsapp","http://www.whatsapp.com/","Apr 2011","$8M"
"ShoeDazzle","Los Angeles, CA","https://www.secondmarket.com/company/shoedazzle","http://www.shoedazzle.com/","May 2011","$40M"
"Say Media","San Francisco, CA","https://www.secondmarket.com/company/say-media","http://www.saymedia.com/","Sep 2007","$15M"
"Shopify","Ottawa, Ontario, Canada","https://www.secondmarket.com/company/shopify","http://www.shopify.com","Oct 2011","$15M"
"Twilio","San Francisco, CA","https://www.secondmarket.com/company/twilio","http://www.twilio.com","Dec 2011","$17M"
"Swype","Seattle, WA","https://www.secondmarket.com/company/swype","http://www.swype.com","Jul 2011","$2.5M"
"Andreessen Horowitz","Menlo Park, CA","https://www.secondmarket.com/company/andressen-horowitz","http://a16z.com","",""
"Kaiser Permanente","Oakland, CA","https://www.secondmarket.com/company/kaiser-permanente","https://www.kaiserpermanente.org/","",""
"Toys""R""Us","Wayne, NJ","https://www.secondmarket.com/company/toysrus","http://www.toysrusinc.com","",""
"MediaMath","New York, NY","https://www.secondmarket.com/company/mediamath","http://www.mediamath.com","Mar 2011","$14M"
"Kiva Systems","North Reading, MA","https://www.secondmarket.com/company/kiva-systems","http://www.kivasystems.com/","May 2006","$10M"
"GlobalLogic","McLean, VA","https://www.secondmarket.com/company/globallogic","http://www.globallogic.com/","Mar 2006","$12M"
"iContact","Morrisville, NC","https://www.secondmarket.com/company/icontact","http://icontact.com","Aug 2010","$40M"
"TaskRabbit","San Francisco, CA","https://www.secondmarket.com/company/taskrabbit","http://www.taskrabbit.com","Dec 2011","$17M"
"MiaSol̩","Santa Clara, CA","https://www.secondmarket.com/company/miasol","http://www.miasole.com/","Feb 2011","$106M"
"Amobee","Redwood City, CA","https://www.secondmarket.com/company/amobee-media-systems","http://www.amobee.com","Oct 2009","Unknown"
"Face.com","Tel-Aviv, Israel","https://www.secondmarket.com/company/facecom","http://face.com","Sep 2010","$4.3M"
"LiveOps","Santa Clara, CA","https://www.secondmarket.com/company/liveops","http://www.liveops.com","Feb 2007","$28M"
"obopay","Redwood City, CA","https://www.secondmarket.com/company/obopay","http://obopay.com","Mar 2009","$70M"
"Dogfish Head","Milton, DE","https://www.secondmarket.com/company/dogfish-head","http://www.dogfish.com","",""
"Violin Memory","","https://www.secondmarket.com/company/violin-memory","http://www.violin-memory.com/","Jun 2011","$40M"
"Proofpoint","Sunnyvale, CA","https://www.secondmarket.com/company/proofpoint","http://www.proofpoint.com","Feb 2008","$28M"
"Dwolla","Des Moines, IA","https://www.secondmarket.com/company/dwolla","http://www.dwolla.com","Nov 2010","$1M"
"Efficient Frontier","Sunnyvale, CA","https://www.secondmarket.com/company/efficient-frontier","http://www.efrontier.com/","Aug 2006","$6M"
"Cash4Gold","Pompano Beach, FL","https://www.secondmarket.com/company/cash4gold","http://www.cash4gold.com/","May 2009","$20M"
"Four Directions","Hong Kong, Hong Kong","https://www.secondmarket.com/company/four-directions","http://www.4d.com.hk","",""
"Sinclair Oil","Salt Lake City, UT","https://www.secondmarket.com/company/sinclair-oil","http://www.sinclairoil.com/","",""
"Blip.tv","New York, NY","https://www.secondmarket.com/company/bliptv","http://blip.tv/","Dec 2011","$6M"
"Qualys","Redwood Shores, CA","https://www.secondmarket.com/company/qualys","www.qualys.com","",""
"BirchBox","New York, NY","https://www.secondmarket.com/company/birchbox","http://www.birchbox.com","Nov 2011","$30M"
"BranchOut","San Francisco, CA","https://www.secondmarket.com/company/branchout","http://www.branchout.com","May 2011","$18M"
"PayNearMe","Mountain View, CA","https://www.secondmarket.com/company/paynearme","http://www.paynearme.com","Nov 2010","$16M"
"Adchemy","Foster City, CA","https://www.secondmarket.com/company/adchemy","http://www.adchemy.com","Sep 2011","$61M"
"GridPoint","Arlington, VA","https://www.secondmarket.com/company/gridpoint","http://gridpoint.com","Jan 2011","$23M"
"AMC Entertainment","Kansas City, MO","https://www.secondmarket.com/company/amc-entertainment","http://www.amctheatres.com","",""
"PwC","New York, NY","https://www.secondmarket.com/company/pricewaterhousecoopers","http://www.pwc.com","",""
"Creative Artists Agency","Los Angeles, CA","https://www.secondmarket.com/company/creative-artists-agency","http://www.caa.com","Oct 2010","Unknown"
"Biovista","Charlottesville, VA","https://www.secondmarket.com/company/biovista","http://www.biovista.com/","",""
"Go Fun Card","Kowloon, Hong Kong, Hong Kong","https://www.secondmarket.com/company/go-fun-card","www.gofun-card.com","",""
