"Behind the Burner","New York, NY","https://www.secondmarket.com/company/behind-the-burner"
"Flixster","San Francisco, CA","https://www.secondmarket.com/company/flixster"
"Brooklyn Brewery","Brooklyn, NY","https://www.secondmarket.com/company/brooklyn-brewery"
"E&J Gallo Winery","Modesto, CA","https://www.secondmarket.com/company/ej-gallo-winery"
"SeatGeek","New York, NY","https://www.secondmarket.com/company/seatgeek"
"Nextag","San Mateo, CA","https://www.secondmarket.com/company/nextag"
"SunRun","San Francisco, CA","https://www.secondmarket.com/company/sunrun"
"Gazelle","Boston, MA","https://www.secondmarket.com/company/gazelle"
"Art.com","Emeryville, CA","https://www.secondmarket.com/company/artcom"
"OANDA","New York, NY","https://www.secondmarket.com/company/oanda"
"CrowdStar","Burlingame, CA","https://www.secondmarket.com/company/crowdstar"
"56.com","Chao Yang District,Beijing, China","https://www.secondmarket.com/company/56com"
"ModCloth","Pittsburgh, PA","https://www.secondmarket.com/company/modcloth"
"groSolar","White River, VT","https://www.secondmarket.com/company/grosolar"
"360buy.com","Beijing, China","https://www.secondmarket.com/company/360buycom"
"BillFloat","San Francisco, CA","https://www.secondmarket.com/company/billfloat"
"BridgeLux","Sunnyvale, CA","https://www.secondmarket.com/company/bridgelux"
"GetJar","Vilnius, Lithuania","https://www.secondmarket.com/company/getjar-networks"
"Technorati","San Francisco, CA","https://www.secondmarket.com/company/technorati"
"2tor","New York, NY","https://www.secondmarket.com/company/2tor"
"Sierra Nevada","Chico, CA","https://www.secondmarket.com/company/sierra-nevada"
"Fab","New York, NY","https://www.secondmarket.com/company/fabcom"
"Foodspotting","San Francisco, CA","https://www.secondmarket.com/company/foodspotting"
"Spiceworks","Austin, TX","https://www.secondmarket.com/company/spiceworks"
"Wildfire Interactive","Redwood City, CA","https://www.secondmarket.com/company/wildfire"
"ExactTarget","Indianapolis, IN","https://www.secondmarket.com/company/exacttarget"
"Benchmark Capital","Menlo Park, CA","https://www.secondmarket.com/company/benchmark-capital"
"LearnVest","New York, NY","https://www.secondmarket.com/company/learnvest"
"Booyah","San Francisco, CA","https://www.secondmarket.com/company/booyah"
"Live Gamer","New York, NY","https://www.secondmarket.com/company/live-gamer"
"eMeter","San Mateo, CA","https://www.secondmarket.com/company/emeter"
"Millennial Media","Baltimore, MD","https://www.secondmarket.com/company/millennial-media"
"Virgin America","Burlingame, CA","https://www.secondmarket.com/company/virgin-america"
"Milk","","https://www.secondmarket.com/company/milk"
"Virgin Gaming","","https://www.secondmarket.com/company/virgin-gaming"
"First Wind","Boston, MA","https://www.secondmarket.com/company/first-wind"
"CapLinked","Manhattan Beach, CA","https://www.secondmarket.com/company/caplinked"
"SimpleGeo","San Francisco, CA","https://www.secondmarket.com/company/simplegeo"
"Chartbeat","New York, NY","https://www.secondmarket.com/company/chartbeat"
"Photobucket, Corp.","CO","https://www.secondmarket.com/company/photobucket"
"Vostu","New York, NY","https://www.secondmarket.com/company/vostu"
"Mahalo","Culver City, CA","https://www.secondmarket.com/company/mahalo"
"Acronis","Burlington, MA","https://www.secondmarket.com/company/acronis"
"StumbleUpon","San Francisco, CA","https://www.secondmarket.com/company/stumbleupon"
"Lytro","Mountain View, CA","https://www.secondmarket.com/company/lytro"
"Send The Trend","New York, NY","https://www.secondmarket.com/company/sendthetrend"
"Gazillion Entertainment","San Mateo, CA","https://www.secondmarket.com/company/gazillion-entertainment"
"Enphase Energy","Petaluma, CA","https://www.secondmarket.com/company/enphase-energy"
"quirky","New York, NY","https://www.secondmarket.com/company/quirky"
"IMVU","Palo Alto, CA","https://www.secondmarket.com/company/imvu"
"Riot Games","Culver City, CA","https://www.secondmarket.com/company/riot-games-inc"
"CafeMom","New York, NY","https://www.secondmarket.com/company/cafemom"
"RealDirect","New York, NY","https://www.secondmarket.com/company/realdirect"
"Hara","San Mateo, CA","https://www.secondmarket.com/company/hara"
".Fox Networks","","https://www.secondmarket.com/company/fox-networks"
"Specificmedia","Irvine, CA","https://www.secondmarket.com/company/specificmedia"
